CustomerTypeTwoId|Name|Inactive|Guid
44|Junio 2015|False|{3F930901-EEA0-417B-A854-DCB754316788}
45|Julio 2015|False|{1AFC6834-1DBE-4E85-8765-3FEEF116040A}
46|Agosto 2015|False|{66662657-DEC4-46CA-AB58-FD335C6F379D}
47|Septiembre 2015|False|{9E745750-E5D3-4B43-AD35-77927B782188}
48|Octubre 2015|False|{5EC3D7C4-EB1D-4C99-B54A-1316F19B304B}
49|Noviembre 2015|False|{984005A6-78B1-405E-9381-790E7CC4C4C7}
50|Diciembre 2015|False|{038684E8-5E0E-454E-AB5A-2C411E256D99}
51|Enero 2016|False|{4101113E-09E8-4F01-AA75-9DC4640B986E}
52|Febrero 2016|False|{F5C0313A-BCD8-4C8E-B0DD-14FAEBAB2106}
53|Marzo 2016|False|{475BE64A-BF78-4C69-A4E6-3CC7DE70D106}
54|Abril 2016|False|{BEAF3171-C1CA-4254-A054-1132ADC0C17A}
55|Mayo 2016|False|{90201383-0674-4CCB-8154-EC2D1A0D5802}
56|Junio 2016|False|{DB5C19D2-EE46-48E5-A39A-89C6B8DE32E9}
57|Julio 2016|False|{43294F7C-51CE-4089-819C-BFF16EBB8A50}
58|Agosto 2016|False|{6F65967F-863F-4EFD-9A6B-BDF20573FA2C}
59|Septiembre 2016|False|{B2B181D5-CF56-4FC0-A3FF-A9B9BDF14C95}
60|Octubre 2016|False|{77CA0650-E98E-4E4B-B02A-867C44B2310B}
61|Noviembre 2016|False|{3BA75F23-C8A2-4125-A1CB-7D30295ADEBA}
62|Diciembre 2016|False|{ED91A0F5-D728-4D36-B62E-04B3541F2651}
63|Enero 2017|False|{574C0D87-C833-425B-8C19-DC6F084577F5}
64|Febrero 2017|False|{07695A1E-029F-4BB7-B4C2-785EA95DA29C}
65|Marzo 2017|False|{92EA3A6A-C0FF-4384-B920-11C44136F773}
66|Abril 2017|False|{94918E84-F6BC-4C93-A0E4-B80EEAD4C305}
67|Mayo 2017|False|{27A61FDF-CA16-46A3-BF0A-554EC101B18D}
68|Junio 2017|False|{49BD15D1-D585-4D87-BD65-E4E30B46F94B}
69|Julio 2017|False|{9A66D2F0-048F-47DB-A600-6DAE886F280E}
70|Agosto 2017|False|{F63E799E-76EB-46B5-AD41-443CE33D2C30}
71|Septiembre 2017|False|{939C1C32-9F37-48F6-8DE8-17EE7B895D48}
72|Octubre 2017|False|{49495DA4-C0C8-48E0-BEF2-E6A0E8D0432D}
73|Noviembre 2017|False|{DC070ED7-7192-425E-AC00-B3458793D951}
74|Diciembre 2017|False|{2366A598-BDFF-447A-AC89-1836DAF8EA12}
75|Enero 2018|False|{A7CCFD4A-3880-46BB-8EE1-887075577400}
76|Febrero 2018|False|{918665E2-FC09-41CE-B379-93B777F9224A}
77|Marzo 2018|False|{CCDDD7A0-3BF3-4431-A995-25D951FFA11C}
78|Abril 2018|False|{F9B4A661-685C-4AA2-BF4D-264F3C755D6A}
79|Mayo 2018|False|{21FE5DEA-5932-4006-9BD9-D23C7E59E37A}
80|Junio 2018|False|{23B4DAE4-0BC8-472B-AEEE-92939C2D9AFB}
81|Julio 2018|False|{A729E3A3-0FA1-4468-B627-ED77F62CC5AF}
82|Agosto 2018|False|{9C051076-16C9-44E0-B12F-7241028D74C8}
83|Septiembre 2018|False|{6BA72506-7136-43C6-86EE-A32C9EACFFA2}
84|Octubre 2018|False|{607A368C-4D61-43E0-9FFD-C518F0486592}
85|Noviembre 2018|False|{14BF0991-7ECE-4C21-803B-1DC7350A371D}
86|Diciembre 2018|False|{F6CD7436-EF8C-48DA-9EEF-275AB5DC8314}
87|BONIFICADO|False|{02131C5A-C438-47A5-8CDE-44399F46BE57}
88|Enero 2019|False|{7410913E-EF05-4FB5-8806-005733CF03B2}
89|Febrero 2019|False|{23CE9F9D-B559-4ADE-99F2-BB4974E988D4}
90|Marzo 2019|False|{22E49614-1DD6-4463-81AB-EB208515614F}
91|Abril 2019|False|{67A440DF-D53E-484C-BF9C-E42D0660C260}
92|Mayo 2019|False|{98F1CA7C-5188-4628-B8F7-08A33564563D}
93|Junio 2019|True|{8A7E197F-1F3D-471E-879E-15836212854A}
94|Julio 2019|False|{3F9845DD-FF0C-4F9C-94A5-D26DAB357DEC}
95|Junio 2019|False|{67492C81-5D81-4D51-971E-581BFDA5B328}
96|Agosto 2019|False|{0761F6D2-1827-44D4-ADF4-0217F512B03B}
97|Septiembre 2019|False|{31D28B31-BBE4-4B41-8297-567D6EC40C34}
98|Octubre 2019|False|{A80277F9-A66C-4822-AD22-CE0D8EB65827}
99|Noviembre 2019|False|{539385A6-1BD1-4269-BFC0-068CC991C2E4}
100|Diciembre 2019|False|{AB6A4EEA-4CD4-4D7B-8D32-15EA3D60BBBE}
101|Enero 2020|False|{88DAFA0F-5DF5-4BCD-8F8B-BDBB443091B4}
102|Febrero 2020|False|{768CE1F1-A935-4C91-9AF5-EBEF42BD13DC}
103|Marzo 2020|False|{295B2EB0-E1B3-4E31-BA84-54A93F68171A}
104|Abril 2020|False|{2A542E0A-5094-459D-9419-21D819C10093}
105|Mayo 2020|False|{50823E6A-65E9-48CB-BDCA-285F02D69640}
106|Junio 2020|False|{2492EA61-A0B0-4E2A-8045-A738655F3628}
107|Julio 2020|False|{0AB36B0D-BD75-4299-A16C-0476C16576AE}
108|Agosto 2020|False|{E249E10A-1F8A-41CA-89CB-DADF98CB0603}
109|Septiembre 2020|False|{706A9F18-5175-47C9-BB14-2B9BD8C9ABE7}
110|Octubre 2020|False|{453D0126-14CB-43CE-9155-D4D2595C0C3E}
111|Noviembre 2020|False|{CF0058B8-8DB2-4B54-ADA1-D6A6394C664B}
112|Diciembre 2020|False|{9622D502-386F-4E2D-96C1-9AE874E6E6BB}
113|Enero 2021|False|{16B77B99-CF30-4C82-8A29-C91812C7B0D4}
114|Febrero 2021|False|{B9138596-711D-4760-9454-DD82D0E0B4EF}
115|Marzo 2021|False|{439375FC-2241-48C2-800C-1019DE53ED13}
116|Abril 2021|False|{F226D793-414A-4F9A-A8CF-2F264DAF34D6}
117|Mayo 2021|False|{97D97F49-B7AB-46C1-8854-C0958E96B4F5}
118|Junio 2021|False|{4DCE26F6-F111-4B9B-AD32-7522F8993FB2}
119|Julio 2021|False|{F8E20264-8C87-41A3-ACE0-B7261BA6B973}
120|Agosto 2021|False|{9987FFAF-D97B-4513-BAF3-28785DA4CBE4}
121|Septiembre 2021|False|{FFCD3857-B2AA-415C-95BC-2F404CBEF46A}
122|Octubre 2021|False|{838BE862-DCCA-4C65-A502-93459DCB31E8}
123|Noviembre 2021|False|{B747F81C-6ACD-4F20-AC8D-DD3470EB1A60}
124|Diciembre 2021|False|{C23ADAB6-6047-4782-9590-103CD622F858}
125|Enero 2022|False|{2C3814A0-3379-406E-A298-FAC5848C75C8}
126|Febrero 2022|False|{F6D25812-96E4-45D1-87B2-2E449A98A33B}
127|Marzo 2022|False|{C8351B9A-B3FB-467D-8745-CAE66221C8C7}
128|Abril 2022|False|{0B92F10C-4FDF-4D0C-B29B-D0C22DC9FF0B}
129|Mayo 2022|False|{EA3D5ABB-36CC-4D5D-96FA-EC80F87514B6}
130|Junio 2022|False|{2E04CAEE-8B2E-4B5A-B594-95E662BA98F0}
131|Julio 2022|False|{9B09E118-EF75-46CA-BD74-4D845794BB03}
132|Agosto 2022|False|{C37C0502-3335-4AC1-846C-C1B8BE64717A}
133|Septiembre 2022|False|{543EE4D4-4EA5-4BF3-9408-BD8A955E7ECB}
134|Octubre 2022|False|{0194BD27-FB3A-424B-8EB9-A4F32D152D49}
135|Noviembre 2022|False|{1FB76BE2-A543-4F26-95E5-85A0B629FC35}
136|Diciembre 2022|False|{2FAFD3F3-F55F-4885-ADC4-19EB8DB24DBF}
137|Enero 2023|False|{3E4CAF59-7F24-4883-AB07-ADCB072C6505}
138|Febrero 2023|False|{F51C6A9F-C8CB-4930-9ACF-1BA85EF96D07}
139|Marzo 2023|False|{ACCC13DF-C25C-4B65-87D1-3FADCAE163F8}
140|Abril 2023|False|{4D92EDA6-995D-4458-91B4-10D4931F4FF8}
141|Mayo 2023|False|{57DF4106-AEDF-4C7D-AA33-BA6AD6E41509}
142|Junio 2023|False|{2B8FE0E8-6194-456D-9EE4-F3DEB51E6E2D}
143|Julio 2023|False|{57507B00-D1F0-4F17-9A0A-84338B17ED02}
144|Agosto 2023|False|{E464414A-8BDB-4F0A-A461-DD642F0E60B8}
145|Septiembre 2023|False|{69C1CDE2-2E14-4255-A8D0-09CD505CD436}
146|Octubre 2023|False|{C8DC1F69-59D2-4103-B210-DA51D17E3E81}
147|Noviembre 2023|False|{92ECFBF8-3D5F-432E-96F5-F389239C3DFC}
148|Diciembre 2023|False|{6E628FC9-09F4-4756-9926-F99D9761D6E6}
