ProductId|Name|ProductType|ModuleValue|IsSelectable|DisplayNumber|CategoryId|DateCreated|Price|RentalPrice
45|Instalación/Capacitación|2|0|True|1|4|2020-12-08 12:20:41.057000000||
46|Setup|2|0|True|2|4|2020-12-08 12:22:10.327000000||
47|Instalación/Capacitación|3|0|True|1|4|2020-12-08 12:28:06.230000000||
48|Setup|3|0|True|2|4|2020-12-08 12:28:53.360000000||
49|PC Adicional|3|0|True|3|4|2020-12-08 12:29:36.037000000||
50|G1|2|0|True|1|1|2020-08-13 16:42:22.680000000||
51|BEM|3|1|True|1|1|2020-08-13 16:43:38.603000000||
52|Toma de pedidos por Comensales (mostrador)|1|4194304|True|20|4|2020-11-08 11:42:51.580000000||
53|Caller ID|1|0|True|25|4|2020-08-28 17:39:01.020000000||
54|MercadoPago Delivery|1|8388608|True|26|3|2022-03-11 18:11:18.667000000||
55|Setup por única vez|0|0|False|||2022-05-05 18:04:42.263000000|8470.00000|
56|Setup inicial por única vez|0|0|False|||2022-05-05 18:04:42.263000000|8470.00000|
57|Plus ++|0|0|False|||2022-05-05 18:04:42.263000000|7502.00000|
58|Plan Superior|0|0|False|||2022-05-05 18:04:42.263000000|5566.00000|
59|Plan servicios Premium|0|0|False|||2022-05-05 18:04:42.263000000|3085.50000|
60|Plan Plus +|0|0|False|||2022-05-05 18:04:42.263000000|7986.00000|
61|Plan Plus|0|0|False|||2022-05-05 18:04:42.263000000|6655.00000|
62|Plan Intermedio|0|0|False|||2022-05-05 18:04:42.263000000|4719.00000|
63|Plan Inicial|0|0|False|||2022-05-05 18:04:42.263000000|3206.50000|
64|Abono Mensual|0|0|False|||2022-05-05 18:04:42.263000000|3630.00000|
65|MALENA|0|0|False|||2022-05-05 18:04:42.263000000|24454.00000|
66|CENTRAL DE PIZZAS Y EMPANADAS|0|0|False|||2022-05-05 18:04:42.263000000|116402.00000|
67|Abono Punto Pizza|0|0|False|||2022-05-05 18:04:42.263000000|5989.50000|
68|Abono Napoles Pizzeria|0|0|False|||2022-05-05 18:04:42.263000000|24974.40000|
69|Otro|0|0|False|||2022-05-05 18:04:42.263000000||
70|Cambio de licencia|0|0|False|||2022-06-15 17:11:10.070000000|1000.00000|
